cruise,sta,date,time,lat,lon,"depth, m",ctd.S,btl.S,DO mg/L,chl ug/L,NH4 uM,NO2 uM,NO3 uM,NOX uM,DIN uM,PO4 uM,TDN uM,TDP uM,Si uM,DIC.whatisthis,sta.depth,csal,ctemp degC,pH.uga glass-electrode,DIC.uga umol/kg,ALK.uga umol/kg,d13C permil,dH permil,dO18 permil,DIC.uga uM,TA.uga uM,pH spec,labT.TA degC,labp.TA g/mL,labT.DIC degC,labp.DIC g/mL,S.new,"density, kg/m3",DO umol/kg,pH (calculated from TA & DIC),Arag (calculated from TA & DIC)
GM0606,A02,6/6/2006,1899-12-30 23:07:00,29.23867,-89.75688,9,34.2113,31.5,1.2091,3.39,5.089,2.638,3.983,6.621,11.71000004,0.374,19.25,0.68,17.093,25.19,6502009,34.2113,25.3927,8.218938307,2075.749883,2360.168568,NA,NA,NA,2124.191917,2415.248116,NA,NA,NA,23,1.023337125,32.85565,1020.619679,38.56492288,8.047217658,3.385794257
GM0606,A02,6/6/2006,1899-12-30 23:07:00,29.23867,-89.75688,4,22.8041,25.2,10.13197,12.74,4.897,0.68,2.881,3.561,8.458000183,0.199,17.46,0.37,10.052,24.58,6502004,22.8041,29.9982,8.279196557,2041.696816,2407.775564,NA,NA,NA,2071.738766,2443.204072,NA,NA,NA,23,1.014714207,24.00205,1014.41683,321.2008229,8.194724777,4.766193175
GM0606,A02,6/6/2006,1899-12-30 23:07:00,29.23867,-89.75688,1,22.799,23.2,10.0372,19.95,1.088,0.126,5.746,5.872,6.960000038,0.102,20.35,0.35,13.502,21.79,6502001,22.799,29.9627,8.742324247,1829.583095,2425.179951,NA,NA,NA,1856.496925,2460.855226,NA,NA,NA,23,1.014710362,22.9995,1012.92448,317.7283397,8.533599948,7.753549068
GM0606,A04,6/7/2006,1899-12-30 00:15:00,29.13452,-89.74835,19,36.1997,34.6,2.11746,1.45,1.475,1.589,5.809,7.398,8.873000145,0.469,13.3,0.68,12.025,25.62,6504019,36.1997,23.8682,8.038680319,2135.834952,2371.226499,NA,NA,NA,2188.900676,2430.140626,NA,NA,NA,23,1.024845424,35.39985,1023.460236,67.72554317,7.938938291,2.747248739
GM0606,A04,6/7/2006,1899-12-30 00:15:00,29.13452,-89.74835,1,27.0899,28.3,8.81111,5.6,0.242,-0.02,0.831,0.811,1.052999973,0.046,11.22,0.32,1.076,22.38,6504001,27.0899,29.5819,8.559158134,1885.548371,2395.600652,NA,NA,NA,1919.390918,2438.597814,NA,NA,NA,23,1.017948385,27.69495,1016.855908,279.9989143,8.357562641,6.287736017
GM0606,A05,6/7/2006,1899-12-30 01:10:00,29.07055,-89.75223,28,36.4167,36.2,2.88046,0.44,0.347,1.116,5.524,6.64,6.986999989,0.445,10,0.65,9.953,25.51,6505028,36.4167,23.728,8.083048919,2118.92457,2362.796993,NA,NA,NA,2171.919155,2421.890859,NA,NA,NA,23,1.025010132,36.30835,1024.752667,92.24593005,7.938940274,2.771612882
GM0606,A05,6/7/2006,1899-12-30 01:10:00,29.07055,-89.75223,15,35.3868,35.7,2.69127,0.52,0.6,1.447,8.371,9.818,10.41800022,0.377,13.59,0.63,12.087,26.13,6505015,35.3868,24.6258,7.994311718,2160.626099,2362.279673,NA,NA,NA,2212.975032,2419.514388,NA,NA,NA,23,1.024228594,35.5434,1024.049081,86.1279976,7.848962896,2.39793705
GM0606,A05,6/7/2006,1899-12-30 01:10:00,29.07055,-89.75223,1,19.843,27.1,11.35742,9.25,0.554,-0.026,11.661,11.635,12.18900013,0.032,24.41,0.36,6.85,22.03,6505001,19.843,29.3299,8.62741752,1885.530319,2426.994943,NA,NA,NA,1909.067301,2457.291001,NA,NA,NA,23,1.012482951,23.4715,1016.042083,360.6265447,8.412763808,6.758348729
GM0606,A06,6/7/2006,1899-12-30 02:04:00,29.00897,-89.75427,38,36.3696,36.1,2.67575,0.31,1.341,0.424,9.946,10.37,11.71099949,0.862,14.87,1.04,16.823,26.17,6506038,36.3696,21.5083,7.987485779,2175.989018,2368.589234,NA,NA,NA,2230.332996,2427.743283,NA,NA,NA,23,1.024974381,36.2348,1025.357695,85.7407419,7.868323816,2.240182067
GM0606,A06,6/7/2006,1899-12-30 02:04:00,29.00897,-89.75427,15,34.6903,35.7,4.41681,0.54,0.332,1.207,8.432,9.639,9.970999718,0.455,15.31,0.68,11.323,25.87,6506015,34.6903,25.2452,8.028441411,2140.643775,2373.107432,NA,NA,NA,2191.377707,2429.350826,NA,NA,NA,23,1.023700315,35.19515,1023.860414,141.3239532,7.899715078,2.71373362
